Data;Índice de Confiança do Consumidor com Ajuste Sazonal(1006982)
09/2005;87,300
10/2005;89,600
11/2005;87,400
12/2005;88,900
01/2006;93,700
02/2006;93,100
03/2006;93,500
04/2006;91,700
05/2006;90,800
06/2006;90,600
07/2006;91,000
08/2006;91,400
09/2006;90,800
10/2006;94,300
11/2006;96,100
12/2006;98,200
01/2007;97,800
02/2007;99,000
03/2007;96,000
04/2007;96,700
05/2007;99,300
06/2007;100,400
07/2007;98,700
08/2007;99,000
09/2007;98,900
10/2007;101,400
11/2007;102,400
12/2007;108,400
01/2008;103,100
02/2008;104,600
03/2008;108,500
04/2008;103,000
05/2008;105,100
06/2008;98,400
07/2008;94,300
08/2008;97,100
09/2008;99,800
10/2008;89,800
11/2008;84,800
12/2008;84,800
01/2009;86,400
02/2009;84,900
03/2009;87,700
04/2009;88,200
05/2009;90,100
06/2009;94,200
07/2009;96,600
08/2009;95,900
09/2009;97,100
10/2009;97,800
11/2009;99,400
12/2009;97,600
01/2010;99,400
02/2010;96,800
03/2010;99,000
04/2010;101,400
05/2010;103,500
06/2010;105,000
07/2010;104,000
08/2010;105,700
09/2010;106,500
10/2010;106,000
11/2010;109,300
12/2010;107,100
01/2011;108,400
02/2011;108,500
03/2011;106,200
04/2011;103,300
05/2011;102,600
06/2011;104,700
07/2011;108,800
08/2011;104,000
09/2011;100,100
10/2011;103,400
11/2011;105,700
12/2011;107,000
01/2012;103,600
02/2012;106,800
03/2012;109,800
04/2012;113,200
05/2012;112,400
06/2012;109,600
07/2012;108,000
08/2012;106,600
09/2012;107,100
10/2012;108,000
11/2012;106,600
12/2012;105,600
01/2013;106,300
02/2013;105,200
03/2013;102,300
04/2013;103,200
05/2013;102,800
06/2013;102,300
07/2013;99,200
08/2013;101,500
09/2013;101,900
10/2013;101,100
11/2013;102,200
12/2013;100,600
01/2014;98,800
02/2014;96,900
03/2014;97,500
04/2014;96,300
05/2014;92,500
06/2014;93,200
07/2014;94,300
08/2014;91,400
09/2014;92,100
10/2014;91,400
11/2014;86,000
12/2014;86,500
01/2015;80,400
02/2015;76,600
03/2015;74,300
04/2015;75,600
05/2015;75,100
06/2015;73,800
07/2015;70,600
08/2015;69,200
09/2015;64,300
10/2015;65,100
11/2015;66,000
12/2015;64,600
01/2016;65,300
02/2016;68,300
03/2016;66,100
04/2016;65,700
05/2016;70,500
06/2016;72,900
07/2016;76,400
08/2016;78,400
09/2016;79,200
10/2016;80,500
11/2016;78,200
12/2016;73,900
01/2017;78,400
02/2017;80,900
03/2017;83,800
04/2017;82,200
05/2017;84,100
06/2017;82,900
07/2017;82,500
08/2017;81,500
09/2017;83,500
10/2017;85,700
11/2017;87,100
12/2017;87,100
01/2018;87,800
02/2018;88,000
03/2018;91,000
04/2018;89,100
05/2018;88,300
06/2018;83,800
07/2018;85,100
08/2018;84,500
09/2018;82,900
10/2018;85,500
11/2018;93,000
12/2018;92,800
01/2019;95,700
02/2019;94,600
03/2019;91,700
04/2019;89,800
05/2019;86,000
06/2019;88,000
07/2019;88,700
08/2019;90,100
09/2019;89,200
10/2019;89,400
11/2019;89,400
12/2019;91,300
01/2020;90,600
02/2020;88,500
03/2020;80,100
04/2020;58,100
05/2020;62,100
06/2020;70,900
07/2020;78,700
08/2020;79,700
09/2020;82,500
10/2020;82,200
11/2020;81,700
12/2020;78,400
01/2021;75,900
02/2021;78,200
03/2021;68,400
04/2021;72,400
05/2021;76,300
06/2021;80,700
07/2021;82,300
08/2021;80,700
09/2021;74,100
10/2021;75,800
11/2021;74,500
12/2021;76,000
01/2022;74,800
02/2022;77,900
03/2022;75,500
04/2022;78,800
05/2022;76,300
06/2022;78,900
07/2022;79,700
08/2022;82,100
09/2022;86,900
10/2022;87,400
11/2022;84,100
12/2022;87,800
01/2023;86,900
02/2023;85,700
03/2023;88,000
04/2023;87,500
05/2023;89,800
06/2023;91,700
07/2023;94,100
08/2023;94,800
09/2023;94,600
10/2023;92,400
11/2023;91,400
12/2023;92,800
01/2024;90,900
02/2024;89,500
03/2024;91,600
04/2024;93,700
05/2024;90,600
06/2024;91,900
07/2024;93,300
08/2024;93,300
09/2024;93,500
10/2024;92,800
11/2024;94,400
12/2024;91,300
01/2025;86,200
02/2025;83,600
03/2025;84,300
04/2025;84,800
05/2025;86,700
