Data;Índice de Confiança do Consumidor com Ajuste Sazonal(1006982);ICI Com Ajuste Sazonal - Índice de Confiança da Indústria (CNAE 2.0)(1416212)
01/2001; - ;105,700
02/2001; - ;107,000
03/2001; - ;103,400
04/2001; - ;101,700
05/2001; - ;98,300
06/2001; - ;94,300
07/2001; - ;89,100
08/2001; - ;85,800
09/2001; - ;83,500
10/2001; - ;82,900
11/2001; - ;92,200
12/2001; - ;99,800
01/2002; - ;99,400
02/2002; - ;101,700
03/2002; - ;99,500
04/2002; - ;99,900
05/2002; - ;97,000
06/2002; - ;94,200
07/2002; - ;90,300
08/2002; - ;90,800
09/2002; - ;92,200
10/2002; - ;95,000
11/2002; - ;100,800
12/2002; - ;105,200
01/2003; - ;102,700
02/2003; - ;102,100
03/2003; - ;97,500
04/2003; - ;95,000
05/2003; - ;91,000
06/2003; - ;86,800
07/2003; - ;81,800
08/2003; - ;86,600
09/2003; - ;92,500
10/2003; - ;99,600
11/2003; - ;104,600
12/2003; - ;108,000
01/2004; - ;106,200
02/2004; - ;107,400
03/2004; - ;105,900
04/2004; - ;106,000
05/2004; - ;107,700
06/2004; - ;109,100
07/2004; - ;110,300
08/2004; - ;109,600
09/2004; - ;110,400
10/2004; - ;112,400
11/2004; - ;113,000
12/2004; - ;112,300
01/2005; - ;106,800
02/2005; - ;106,600
03/2005; - ;103,500
04/2005; - ;102,100
05/2005; - ;99,800
06/2005; - ;97,300
07/2005; - ;95,000
08/2005; - ;93,800
09/2005;87,300;94,300
10/2005;89,600;95,200
11/2005;87,400;96,400
12/2005;88,900;98,400
01/2006;93,700;99,500
02/2006;93,100;101,300
03/2006;93,500;101,500
04/2006;91,700;103,600
05/2006;90,800;99,700
06/2006;90,600;99,700
07/2006;91,000;101,000
08/2006;91,400;98,800
09/2006;90,800;101,000
10/2006;94,300;100,400
11/2006;96,100;104,000
12/2006;98,200;105,600
01/2007;97,800;103,700
02/2007;99,000;108,200
03/2007;96,000;109,700
04/2007;96,700;111,100
05/2007;99,300;111,300
06/2007;100,400;110,800
07/2007;98,700;112,500
08/2007;99,000;112,100
09/2007;98,900;112,800
10/2007;101,400;114,900
11/2007;102,400;114,900
12/2007;108,400;115,200
01/2008;103,100;112,800
02/2008;104,600;113,200
03/2008;108,500;112,900
04/2008;103,000;111,400
05/2008;105,100;112,500
06/2008;98,400;114,700
07/2008;94,300;113,500
08/2008;97,100;113,900
09/2008;99,800;111,200
10/2008;89,800;102,200
11/2008;84,800;84,100
12/2008;84,800;74,300
01/2009;86,400;74,800
02/2009;84,900;76,800
03/2009;87,700;79,000
04/2009;88,200;84,100
05/2009;90,100;88,500
06/2009;94,200;93,100
07/2009;96,600;97,000
08/2009;95,900;100,800
09/2009;97,100;105,500
10/2009;97,800;109,600
11/2009;99,400;112,300
12/2009;97,600;113,300
01/2010;99,400;113,100
02/2010;96,800;115,700
03/2010;99,000;115,800
04/2010;101,400;115,700
05/2010;103,500;116,000
06/2010;105,000;114,300
07/2010;104,000;112,400
08/2010;105,700;112,500
09/2010;106,500;113,600
10/2010;106,000;113,800
11/2010;109,300;112,800
12/2010;107,100;112,700
01/2011;108,400;110,700
02/2011;108,500;112,200
03/2011;106,200;112,600
04/2011;103,300;111,500
05/2011;102,600;109,700
06/2011;104,700;107,600
07/2011;108,800;104,000
08/2011;104,000;101,800
09/2011;100,100;100,300
10/2011;103,400;102,100
11/2011;105,700;101,400
12/2011;107,000;101,500
01/2012;103,600;103,300
02/2012;106,800;101,400
03/2012;109,800;101,700
04/2012;113,200;101,100
05/2012;112,400;101,100
06/2012;109,600;100,200
